Account	Name	StNum	StName	City	State	Zip	Phone	PermitTypes	Expiration	FacilityType	District	Risk	Employees	Score	InspectionDate	StartTime	EndTime	ActivityType	InspectorID	InspectorName	SiteCount
403399	ST. JOHN'S UNITED METHODIST CHURCH	2019	" ""CRAWFORD"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		F	2/6/2014	(100) Convenience Grocery - Packaged	401	1	2	1	2/20/2013	11:50 AM	12:10 PM	Routine Inspection (001)	GAB1	Gene Bowden	0	
403404	FU FU CAFE	9889	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	2/7/2014	(001) Restaurant - Full Service	204	3	0	2	4/22/2013	1:30 PM	2:40 PM	Routine Inspection (001)	YYW1	Yolanda Wilkins	2	
403410	BASKIN ROBBINS	8076	" ""GESSNER"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	2/10/2014	(002) Restaurant - Single Service	204	2	8	1	1/2/2013	4:25 PM	5:00 PM	Routine Inspection (001)	YYW1	Yolanda Wilkins	2	
403415	PALETERIA Y NEVERIA MICHOACANA NATURAL	8230	" ""LONG POINT"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		"F,G"	2/7/2014	(002) Restaurant - Single Service	302	2	0	1	2/26/2013	11:55 AM	12:20 PM	Routine Inspection (001)	VLT1	Vakeshia Taylor	2	
403426	H & E CORNER STORE	902	" ""33RD"""	" ""HOUSTON"""	" ""TX"""	" ""77022-5106"""		"F,G"	2/7/2013	(090) Retail Food Market with Meat Market	305	2	3	5	3/11/2013	2:20 PM	3:10 PM	Routine Inspection (001)	RLR1	Remonda Robinson	4	
403435	FOOD TOWN #17	9525	" ""KIRKWOOD"""	" ""HOOUSTON"""	" ""TX"""	" ""77099"""		"F,G"	2/10/2014	(091) Retail Food Market - Multi Service	203	3	115	1	2/21/2013	11:45 AM	12:00 PM	Routine Inspection (001)	ADS1	Argemiro Sierra	5	
403448	HARRISBURG FOOD MARKET	7748	" ""HARRISBURG"""	" ""HOUSTON"""	" ""TX"""	" ""77012-1502"""	(713) 923-6165	"F,D,G"	2/8/2014	(101) Convenience Grocery - Open foods	102	2	3	1	3/22/2013	8:50 AM	9:55 AM	Routine Inspection (001)	MRW1	Marcia Washington	2	
403450	Y'ALL TEXAS STORE	1295	" ""WILLOWBROOK"""	" ""HOUSTON"""	" ""TX"""	" ""77070"""		F	1/1/2014	(100) Convenience Grocery - Packaged	306	1	1	1	12/5/2012	2:50 PM	2:55 PM	Routine Inspection (001)	ZYW1	Zenobia Walker	0	
403452	WALGREENS # 9808	2612	" ""SMITH"""	" ""HOUSTON"""	" ""TX"""	" ""77006"""		F	2/9/2014	(100) Convenience Grocery - Packaged	402	1	8	1	3/10/2013	12:20 PM	12:45 PM	Routine Inspection (001)	KXR1	Kristina Robles	0	
403455	DAIRY QUEEN	735	" ""HIGHWAY 6"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		"F,D,G"	2/9/2014	(002) Restaurant - Single Service	205	3	10	1	1/17/2013	3:20 PM	3:30 PM	Routine Inspection (001)	AMF1	Abeid Fells	2	
403463	STERLING INN & SUITES	6530	" ""SOUTHWEST"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""		"F,G"	2/17/2014	(002) Restaurant - Single Service	203	2	2	1	11/20/2012	8:30 AM	8:45 AM	Routine Inspection (001)	ADS1	Argemiro Sierra	2	
403465	AZUCAR CRYSTAL NIGHT CLUB	6680	" ""SOUTHWEST"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""		F	2/15/2014	(062) Bar - Full Service	203	2	10	1	3/24/2012	10:05 PM	10:25 PM	Routine Inspection (001)	CYH1	Chsun-Yi Hsu	1	
403475	EL NORTENO POLLOS ASADOS - DELLA CARTS	8402	" ""HOUSTON ROSSLYN"""	" ""HOUSTON"""	" ""TX"""	" ""77088"""		H	5/3/2014	"(070) Mobile - Conventional, Unrestricted, Motorized"	306	2	3	1	5/7/2013	10:00 AM	11:00 AM	Routine Inspection (001)	MFS1	Manuel Say	2	
403482	PHOENICIA SPECIALTY FOODS	12141	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77077"""		"F,G"	3/24/2014	(091) Retail Food Market - Multi Service	205	3	67	2	9/5/2012	7:00 AM	9:40 AM	Routine Inspection (001)	AMF1	Abeid Fells	10	
403491	THOMPSON ELEMENTARY SCHOOL	6121	" ""TIERWESTER"""	" ""HOUSTON"""	" ""TX"""	" ""77021"""		"F,D,G"	1/1/2014	(030) School Cafeteria - Elementary	103	3	5	1	2/20/2013	7:00 AM	8:30 AM	Routine Inspection (001)	IFC1	I-Yuan Chen	3	
403496	RODERICK PAIGE  ELEMENTARY  SCHOOL	7501	" ""CURRY"""	" ""HOUSTON"""	" ""TX"""	" ""77093"""		"F,G"	1/1/2014	(030) School Cafeteria - Elementary	406	3	4	1	4/26/2013	8:55 AM	9:55 AM	Routine Inspection (001)	GXL1	Gary Lee	4	
403499	SCHLOTZSKY'S	4001	" ""RICHMOND"""	" ""HOUSTON"""	" ""TX"""	" ""77027"""		"F,G"	2/14/2014	(002) Restaurant - Single Service	403	2	5	2	2/21/2013	9:50 AM	10:40 AM	Routine Inspection (001)	TXS1	Tenitra Smith	2	
403504	WAREHOUSE LIVE	813	" ""ST. EMMANUEL"""	" ""HOUSTON"""	" ""TX"""	" ""77003"""		F	2/15/2014	(062) Bar - Full Service	401	1	10	1	10/13/2012	9:30 PM	10:10 PM	Routine Inspection (001)	GAB1	Gene Bowden	0	
403505	REGENT CARE KINGWOOD CENTER	23775	" ""KINGWOOD PLACE"""	" ""KINGWOOD"""	" ""TX"""	" ""77345"""		"F,G"	8/15/2013	(042) Assisted Living Centers	407	3	15	2	4/21/2013	12:20 PM	2:40 PM	Routine Inspection (001)	KXR1	Kristina Robles	2	
403511	GULF MARINE & INDUSTRIAL SUPPLIES	5801	" ""ARMOUR"""	" ""HOUSTON"""	" ""TX"""	" ""77020"""	(713) 514-9010	F	2/15/2014	(151) Warehouses +A85	507	1	51	1	1/15/2013	9:20 AM	10:15 AM	Routine Inspection (001)	SLA1	Sandy Andorka	1	
403514	EL PETATE RESTAURANT	7433	" ""CANAL"""	" ""HOUSTON"""	" ""TX"""	" ""77011-2843"""		"F,G"	2/15/2014	(001) Restaurant - Full Service	404	3	2	2	3/5/2013	10:55 AM	11:20 AM	Routine Inspection (001)	KMY1	Karen Yokooji	2	
403521	TONY'S BARBECUE & STEAK HOUSE	17052	" ""SATURN"""	" ""HOUSTON"""	" ""TX"""	" ""77058"""		"F,G"	12/21/2013	(001) Restaurant - Full Service	107	3	8	2	2/28/2013	4:20 PM	5:10 PM	Routine Inspection (001)	JCR1	Joseph Raia	2	
403542	CJ'S AT PLAZA BISTRO	600	" ""LOUISIANA"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""	(281) 964-5469	"F,G"	2/16/2013	(002) Restaurant - Single Service	507	2	3	1	10/30/2012	1:10 PM	1:40 PM	Routine Inspection (001)	SLA1	Sandy Andorka	2	
403549	KEEMAT GROCERY	5601	" ""HILLCROFT"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		F	2/22/2014	(100) Convenience Grocery - Packaged	204	1	7	1	12/28/2011	5:10 PM	6:15 PM	Routine Inspection (001)	AXD1	Ashish Dasgupta	0	
403561	ABBY'S AIRCRAFT CATERING SERVICES	2700	" ""GREENS"""	" ""HOUSTON"""	" ""TX"""	" ""77032"""		"F,G"	2/17/2014	(080) Catering Establishment	502	3	30	2	10/2/2012	1:50 PM	3:00 PM	Routine Inspection (001)	JXE1	Jeffrey Erdman	2	
403566	PHO 21	5700	" ""GESSNER"""	" ""HOUSTON"""	" ""TX"""	" ""77036-1635"""	(832) 630-7996	"F,G"	2/20/2014	(001) Restaurant - Full Service	204	3	0	4	4/16/2013	6:10 PM	7:10 PM	Routine Inspection (001)	CYH1	Chsun-Yi Hsu	2	
403573	LEE'S SANDWICHES	11210	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""		"F,D,G"	3/6/2014	(002) Restaurant - Single Service	206	3	50	2	2/21/2013	9:20 AM	10:20 AM	Routine Inspection (001)	AMF1	Abeid Fells	2	
403576	SELECT SPECIALTY HOSPITAL - HOUSTON WEST	9430	" ""OLD KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		"F,G"	3/10/2014	(040) Hospitals	505	3	8	5	4/16/2013	1:30 PM	4:30 PM	Routine Inspection (001)	CPY1	Ching-Ping Yang	7	
403586	JOHN HENRY'S FOOD PRODUCTS	7676	" ""NORTH"""	" ""HOUSTON"""	" ""TX"""	" ""77037"""		"F,G"	2/21/2014	(131) Commercial Food Processors - PHF	502	3	10	1	2/28/2013	3:55 PM	4:55 PM	Routine Inspection (001)	SLA1	Sandy Andorka	2	
403602	NORTHLINE FOODMART & DELI	106	" ""RITTENHOUSE"""	" ""HOUSTON"""	" ""TX"""	" ""77076-2006"""		"F,D,G"	2/21/2014	(101) Convenience Grocery - Open foods	305	2	3	3	2/25/2013	1:45 PM	2:50 PM	Routine Inspection (001)	RLR1	Remonda Robinson	2	
403605	OSTIONERIA COSTA AZUL	7307	" ""BISSONNET"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""		"F,G"	2/21/2014	(001) Restaurant - Full Service	203	3	8	3	2/5/2013	9:45 AM	10:45 AM	Routine Inspection (001)	ADS1	Argemiro Sierra	4	
403647	99 CENTS Y MAS	6502	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""		F	2/22/2014	(100) Convenience Grocery - Packaged	203	1	1	1	1/16/2013	1:45 PM	2:30 PM	Routine Inspection (001)	ADS1	Argemiro Sierra	1	
403653	LONGFELLOW ELEMENTARY SCHOOL	3617	" ""NORRIS"""	" ""HOUSTON"""	" ""TX"""	" ""77025"""		"F,G"	1/1/2014	(030) School Cafeteria - Elementary	104	3	7	1	4/30/2013	12:15 PM	12:45 PM	Routine Inspection (001)	LWT1	LaTerica Thomas	3	
403659	ZABAK'S MEDITERRANEAN CAFE	5901	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,G"	2/28/2014	(002) Restaurant - Single Service	202	2	5	1	2/5/2013	10:35 AM	11:00 AM	Routine Inspection (001)	JBB1	Jerry Bradshaw	2	
403660	1820	1820	" ""FRANKLIN"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		F	2/24/2014	(062) Bar - Full Service	401	1	5	2	4/29/2013	6:50 PM	7:10 PM	Routine Inspection (001)	RES1	Robert Stine	0	
403664	SPARKLES HAMBURGER SPOT	1515	" ""DOWLING"""	" ""HOUSTON"""	" ""TX"""	" ""77003-4428"""		"F,G"	2/23/2014	(002) Restaurant - Single Service	401	2	7	2	4/4/2013	3:55 PM	4:45 PM	Routine Inspection (001)	GAB1	Gene Bowden	2	
403670	SMOOTHIE KING-GALLERIA	5015	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77056"""		"F,G"	3/1/2014	() 	201	1	6	2	4/16/2013	1:45 PM	2:10 PM	Routine Inspection (001)	JSE1	John Echols	2	
403673	TORTILLERIA  ZACATECAS	114	" ""HARDWICKE"""	" ""HOUSTON"""	" ""TX"""	" ""77060-4937"""		"F,G"	2/23/2014	(120) Bakery - Retail 	406	1	4	2	1/22/2013	9:45 AM	10:05 AM	Routine Inspection (001)	GXL1	Gary Lee	3	
403678	WYNDHAM HOUSTON WEST	14703	" ""PARK ROW"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		"F,G"	2/24/2014	(001) Restaurant - Full Service	205	3	50	1	1/11/2013	8:30 AM	8:40 AM	Routine Inspection (001)	AMF1	Abeid Fells	6	
403679	MEMORIAL LUTHERAN CHURCH AND SCHOOL	5800	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,G"	2/24/2014	(033) School Cafeteria - Private	201	3	6	1	3/8/2013	11:20 AM	12:15 PM	Routine Inspection (001)	JBB1	Jerry Bradshaw	2	
403684	KIRAN'S	4100	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77027"""		"F,G"	9/1/2013	(001) Restaurant - Full Service	403	3	38	1	2/15/2013	2:45 PM	4:10 PM	Routine Inspection (001)	VLT1	Vakeshia Taylor	4	
403689	RISING ROLL GOURMET	6410	" ""FANNIN"""	" ""HOUSTON"""	" ""TX"""	" ""77030"""		"F,G"	2/24/2014	(002) Restaurant - Single Service	101	2	7	1	4/2/2013	9:55 AM	11:00 AM	Routine Inspection (001)	JTD1	Jay Dunn	2	
403691	MAXIM'S CATERING	6396	" ""RICHMOND"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,G"	2/24/2014	(080) Catering Establishment	504	3	0	1	2/19/2013	12:05 PM	1:45 PM	Routine Inspection (001)	JXE1	Jeffrey Erdman	4	
403695	MEYERLAND CITGO	5265	" ""BEECHNUT"""	" ""HOUSTON"""	" ""TX"""	" ""77096"""		F	2/27/2014	(002) Restaurant - Single Service	104	2	3	1	1/18/2013	10:25 AM	11:15 AM	Routine Inspection (001)	SRL1	Sharhonda Lee	1	
403699	THE STORE AT THE VILLAS ON WOODFOREST	451	" ""MAXEY"""	" ""HOUSTON"""	" ""TX"""	" ""77013"""		F	3/3/2014	(100) Convenience Grocery - Packaged	405	1	1	1	3/14/2013	8:40 AM	8:55 AM	Routine Inspection (001)	KMY1	Karen Yokooji	0	
403705	DAVID'S CAR CARE	7050	" ""SOUTHWEST FRWY"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""	(713) 779-9140	"F,G"	2/28/2014	(002) Restaurant - Single Service	203	2	0	1	1/23/2013	1:45 PM	2:00 PM	Routine Inspection (001)	ADS1	Argemiro Sierra	2	
403708	TEXAS TRUCK STOP	8722	" ""MARKET"""	" ""HOUSTON"""	" ""TX"""	" ""77029-3418"""		"F,D,G"	2/28/2013	(101) Convenience Grocery - Open foods	404	1	6	3	4/27/2012	10:30 AM	11:30 AM	Routine Inspection (001)	KXR1	Kristina Robles	4	
403709	REFRESQUERIA RIO VERDE-DELLA CARTS	8315	" ""LONG POINT"""	" ""HOUSTON"""	" ""TX"""	" ""77092"""		H	3/9/2014	"(071) Mobile - Conventional, Unrestricted , Non-motorized"	303	3	2	1	3/5/2013	8:50 AM	10:00 AM	Routine Inspection (001)	TNL1	Tuan Luu	2	
403710	TACOS A GO-GO	3704	" ""MAIN"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,G"	2/28/2014	(002) Restaurant - Single Service	401	3	15	3	1/23/2013	1:35 PM	2:30 PM	Routine Inspection (001)	GAB1	Gene Bowden	4	
403714	SHIPLEY DONUTS	1001	" ""MCKINNEY"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,G"	3/1/2014	(120) Bakery - Retail 	401	2	5	2	1/17/2013	8:00 AM	8:45 AM	Routine Inspection (001)	GAB1	Gene Bowden	2	
403723	PEARL HALL ELEMENTARY SCHOOL	1504	" ""9TH"""	" ""SOUTH HOUSTON"""	" ""TX"""	" ""77587"""		"F,G"	9/17/2013	(031) School Cafeteria - Intermediate / Middle / Jr. High	107	3	9	1	2/22/2013	10:05 AM	11:10 AM	Routine Inspection (001)	JCR1	Joseph Raia	4	
403731	MI TIENDA MEAT MARKET	10211	" ""CLUB CREEK DR."""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	3/7/2014	(090) Retail Food Market with Meat Market	204	3	0	2	1/24/2013	8:35 AM	9:45 AM	Routine Inspection (001)	YYW1	Yolanda Wilkins	5	
403733	THE CHILDREN FIRST ELEMENTARY ACADEMY	7803	" ""LITTLE YORK"""	" ""HOUSTON"""	" ""TX"""	" ""77016"""	(713) 491-9030	"F,G"	3/7/2014	(030) School Cafeteria - Elementary	407	3	0	2	4/9/2013	12:55 PM	2:00 PM	Routine Inspection (001)	KXR1	Kristina Robles	3	
403735	MANNA	2101	" ""34TH"""	" ""HOUSTON"""	" ""TX"""	" ""77018"""		F	3/1/2014	(180) Food Pantry - Packaged	304	1	2	1	3/7/2013	10:25 AM	10:55 AM	Routine Inspection (001)	RJL1	Rosalind LaFleur	0	
403739	ST GEORGE ELEMENTARY	5430	" ""HIDALGO"""	" ""HOUSTON"""	" ""TX"""	" ""77056"""		"F,D,G"	1/1/2014	(030) School Cafeteria - Elementary	201	3	4	1	1/28/2013	9:10 AM	9:30 AM	Routine Inspection (001)	JSE1	John Echols	3	
403743	TE'  HOUSE  OF TEA	2402	" ""WOODHEAD"""	" ""HOUSTON"""	" ""TX"""	" ""77019"""		"F,G"	3/4/2014	(001) Restaurant - Full Service	402	2	6	1	10/9/2012	2:25 PM	2:45 PM	Routine Inspection (001)	DTN1	Denise Nguyen	2	
403746	"EL PAPATURRO #3 COCINA SALVADORENA, LLC"	50	" ""ALDINE BENDER"""	" ""HOUSTON"""	" ""TX"""	" ""77060"""		"F,G"	3/17/2014	(001) Restaurant - Full Service	406	3	4	1	1/25/2013	12:15 PM	12:45 PM	Routine Inspection (001)	GXL1	Gary Lee	3	
403751	TORTILLERIA MATELLUALA	1935	" ""GESSNER"""	" ""HOUSTON"""	" ""TX"""	" ""77080"""		"F,G"	3/3/2014	(120) Bakery - Retail 	307	1	5	2	3/20/2013	11:55 AM	12:35 PM	Routine Inspection (001)	PIC1	Paul Chen	2	
403753	SUBWAY	11177	" ""KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		"F,G"	3/10/2014	(002) Restaurant - Single Service	205	2	5	1	9/28/2012	11:05 AM	11:45 AM	Routine Inspection (001)	AMF1	Abeid Fells	2	
403757	J.R. REYNOLDS ELEMENTARY SCHOOL	9601	" ""ROSEHAVEN"""	" ""HOUSTON"""	" ""TX"""	" ""77051"""		"F,D,G"	1/1/2014	(030) School Cafeteria - Elementary	105	3	5	2	5/2/2013	10:15 AM	11:05 AM	Routine Inspection (001)	MXS1	Mastaneh Sarraf	3	
403758	SNAP GROCERY	218	" ""CAVALCADE"""	" ""HOUSTON"""	" ""TX"""	" ""77009"""		"F,G"	3/3/2014	(101) Convenience Grocery - Open foods	301	1	3	1	2/6/2013	2:25 PM	3:00 PM	Routine Inspection (001)	JXM1	Javier Mora	2	
403760	59 DINER TOWN AND COUNTRY	10407	" ""KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77024"""		"F,G"	6/8/2013	(001) Restaurant - Full Service	302	3	29	3	5/6/2013	8:00 AM	9:00 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	4	
403763	ORIENTAL GOURMET SUPER BUFFET	8456	" ""GULF"""	" ""HOUSTON"""	" ""TX"""	" ""77017"""		"F,D,G"	3/6/2014	(001) Restaurant - Full Service	102	3	20	4	4/16/2013	3:00 PM	5:30 PM	Routine Inspection (001)	MRW1	Marcia Washington	3	
403765	LAS CAZUELAS	109	" ""LITTLE YORK"""	" ""HOUSTON"""	" ""TX"""	" ""77076"""		"F,G"	3/6/2014	(001) Restaurant - Full Service	305	3	2	1	4/17/2013	1:05 PM	1:25 PM	Routine Inspection (001)	GXL1	Gary Lee	2	
403771	WEI-CHUAN U.S.A.	7439	" ""LANGTRY"""	" ""HOUSTON"""	" ""TX"""	" ""77040"""		F	3/6/2014	(151) Warehouses +A85	507	1	18	1	8/15/2012	1:30 PM	2:05 PM	Routine Inspection (001)	SLA1	Sandy Andorka	0	
403774	EL REGALO ELOTES-TEXAS COMM 2	8315	" ""LONG POINT"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""	(832) 613-3712	H	3/7/2014	"(071) Mobile - Conventional, Unrestricted , Non-motorized"	302	2	2	1	3/5/2013	7:45 AM	8:45 AM	Routine Inspection (001)	MFS1	Manuel Say	2	
403780	SELLERS BROS. SUPERMARKETS	1050	" ""FEDERAL"""	" ""HOUSTON"""	" ""TX"""	" ""77015"""	(713) 455-0603	"F,G"	10/13/2013	(091) Retail Food Market - Multi Service	405	3	120	1	12/26/2012	11:50 AM	12:45 PM	Routine Inspection (001)	KMY1	Karen Yokooji	6	
403790	ALEXANDER MARTINEZ PRODUCE STAND	6100	" ""GULFTON"""	" ""HOUSTON"""	" ""TX"""	" ""77081"""		V	3/7/2014	(110) Produce Establishment	201	1	2	1	4/4/2012	12:15 PM	12:35 PM	Routine Inspection (001)	GXL1	Gary Lee	0	
403792	MEHFIL GRILL AND GAME ROOM	11916	" ""BISSONNET"""	" ""HOUSTON"""	" ""TX"""	" ""77099"""		"F,G"	12/13/2013	(002) Restaurant - Single Service	203	2	2	5	3/16/2013	4:50 PM	6:30 PM	Routine Inspection (001)	ADS1	Argemiro Sierra	2	
403794	CHEVRON/SPEEDY STOP #309	2306	" ""NORTHPARK"""	" ""KINGWOOD"""	" ""TX"""	" ""77339"""		"F,D,G"	3/8/2014	(101) Convenience Grocery - Open foods	407	2	25	1	2/19/2013	9:55 AM	11:20 AM	Routine Inspection (001)	KXR1	Kristina Robles	2	
403806	TEX CANOS FOOD MART(CONOCO  GASOLINE)	10191	" ""JENSEN"""	" ""HOUSTON"""	" ""TX"""	" ""77093"""	(713) 447-7865	"F,G"	3/8/2014	(002) Restaurant - Single Service	406	2	3	1	9/7/2012	10:45 AM	11:15 AM	Routine Inspection (001)	GXL1	Gary Lee	3	
403810	LAKEWOOD CHURCH	3700	" ""SOUTHWEST"""	" ""HOUSTON"""	" ""TX"""	" ""77027"""	(281) 772-0290	"F,G"	3/9/2014	(051) Day Care Center - Packaged Foods Only	403	3	2	2	2/7/2013	10:30 AM	11:50 AM	Routine Inspection (001)	TXS1	Tenitra Smith	4	
403823	THE FRESH FACTOR	7620	" ""KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		F	10/3/2013	(002) Restaurant - Single Service	302	1	2	1	9/28/2012	9:30 AM	10:05 AM	Routine Inspection (001)	MRW1	Marcia Washington	0	
403824	PANADERIA MANA	6095	" ""GLENMONT"""	" ""HOUSTON"""	" ""TX"""	" ""77081"""		"F,G"	3/10/2014	(120) Bakery - Retail 	201	3	5	1	11/29/2012	11:20 AM	11:25 AM	Routine Inspection (001)	JSE1	John Echols	4	
403834	SKYLINE FOOD COURT AND MORE	5151	" ""SAN FELIPE"""	" ""HOUSTON"""	" ""TX"""	" ""77056"""		"F,G"	2/26/2014	(002) Restaurant - Single Service	201	2	9	1	3/22/2013	3:45 PM	4:20 PM	Routine Inspection (001)	JBB1	Jerry Bradshaw	2	
403856	THE LIEUTENANT'S HOUSE	4728	" ""GUNTER"""	" ""HOUSTON"""	" ""TX"""	" ""77020"""		F	3/13/2014	(044) Halfway Houses	404	2	1	1	9/20/2012	7:50 AM	8:20 AM	Routine Inspection (001)	KMY1	Karen Yokooji	1	
403863	TAQUERIA LA VERACRUZANA - DELLA CARTS	11442	" ""HEMPSTEAD"""	" ""HOUSTON"""	" ""TX"""	" ""77092"""	(713) 937-9081	H	4/4/2014	"(070) Mobile - Conventional, Unrestricted, Motorized"	303	2	3	1	3/26/2013	8:00 AM	9:00 AM	Routine Inspection (001)	JXC1	Joshua Collins	2	
403864	GOLDEN CORRAL	3033	" ""SOUTH LOOP WEST"""	" ""HOUSTON"""	" ""TX"""	" ""77054"""	(281) 657-5830	"F,D,G"	3/14/2014	(001) Restaurant - Full Service	105	3	66	1	5/7/2013	2:00 PM	2:55 PM	Routine Inspection (001)	MXS1	Mastaneh Sarraf	3	
403866	AMBER FOOD MART (CONOCO)	802	" ""HIGHWAY 6"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		"F,D,G"	4/7/2013	(101) Convenience Grocery - Open foods	205	1	5	2	10/17/2012	11:50 AM	12:40 PM	Routine Inspection (001)	AMF1	Abeid Fells	4	
403878	TAQUERIA LOS JALISCIENSES MEXICAN FOOD	10599	" ""TELEPHONE"""	" ""HOUSTON"""	" ""TX"""	" ""77075"""		"F,G"	3/14/2014	(001) Restaurant - Full Service	106	3	6	2	4/9/2013	11:30 AM	12:15 PM	Routine Inspection (001)	LWT1	LaTerica Thomas	4	
403891	TRUDY'S HALLMARK #20	12850	" ""MEMORIAL"""	" ""HOUSTON"""	" ""TX"""	" ""77024"""		F	2/12/2014	(100) Convenience Grocery - Packaged	302	1	8	1	3/8/2013	9:45 AM	9:55 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	0	
403893	CORNERSTONE HOSPITAL OF HOUSTON	5314	" ""DASHWOOD"""	" ""HOUSTON"""	" ""TX"""	" ""77081"""	(713) 375-7580	"F,G"	3/15/2014	(040) Hospitals	505	3	16	3	2/21/2013	9:00 AM	1:30 PM	Routine Inspection (001)	CPY1	Ching-Ping Yang	6	
403903	FISH CITY GRILL	5172	" ""BUFFALO SPEEDWAY"""	" ""HOUSTON"""	" ""TX"""	" ""77005"""	(713) 668-0197	"F,G"	5/31/2013	(001) Restaurant - Full Service	101	3	22	1	3/25/2013	2:55 PM	3:50 PM	Routine Inspection (001)	JTD1	Jay Dunn	4	
403904	ESCALANTE'S	4053	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77027"""		"F,G"	3/29/2014	(001) Restaurant - Full Service	403	3	90	3	1/29/2013	9:10 AM	10:10 AM	Routine Inspection (001)	TXS1	Tenitra Smith	5	
403908	ROYAL OAK FOOD MART	3818	" ""WILCREST"""	" ""HOUSTON"""	" ""TX"""	" ""77042"""		"F,G"	4/5/2014	(101) Convenience Grocery - Open foods	207	2	7	1	12/1/2012	11:45 AM	12:15 PM	Routine Inspection (001)	MXR1	Marja Ramsey	4	
403911	OASIS SNOWBALL - SOUTH WEST	3330	" ""DAIRY ASHFORD"""	" ""HOUSTON"""	" ""TX"""	" ""77077"""		H	3/16/2014	"(071) Mobile - Conventional, Unrestricted , Non-motorized"	205	2	1	1	2/26/2013	9:45 AM	11:10 AM	Routine Inspection (001)	JXC1	Joshua Collins	2	
403915	F M PRODUCE	2520	" ""AIRLINE"""	" ""HOUSTON"""	" ""TX"""	" ""77009"""		V	3/16/2013	(110) Produce Establishment	110	1	2	1	3/28/2012	1:00 PM	1:10 PM	Routine Inspection (001)	SLA1	Sandy Andorka	1	
403916	FIRST HOT SHOT WOK	7271	" ""BROMPTON"""	" ""HOUSTON"""	" ""TX"""	" ""77025"""		"F,G"	3/17/2014	(002) Restaurant - Single Service	104	2	2	2	2/7/2013	11:15 AM	12:15 PM	Routine Inspection (001)	SRL1	Sharhonda Lee	2	
403922	TONY THAI RESTAURANT	10613	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	9/16/2013	(001) Restaurant - Full Service	206	3	12	1	12/11/2012	11:10 PM	11:15 AM	Routine Inspection (001)	EJI1	Essien Isong	2	
403942	THE VARNETT SCHOOL	804	" ""MAXEY"""	" ""HOUSTON"""	" ""TX"""	" ""77015"""		"F,G"	3/21/2014	(030) School Cafeteria - Elementary	405	3	0	1	4/24/2013	11:40 AM	12:05 PM	Routine Inspection (001)	KMY1	Karen Yokooji	3	
403943	2-GO CORNER STORE	5750	" ""GULF BANK"""	" ""HOUSTON"""	" ""TX"""	" ""77088"""		"F,D"	1/18/2014	(101) Convenience Grocery - Open foods	306	1	3	1	3/19/2013	8:55 AM	9:15 AM	Routine Inspection (001)	ZYW1	Zenobia Walker	0	
403945	LA QUINTA INN & SUITES #178	15510	" ""JOHN F. KENNEDY"""	" ""HOUSTON"""	" ""TX"""	" ""77032"""	(281) 219-2000	"F,G"	3/21/2014	(002) Restaurant - Single Service	406	2	2	1	9/27/2012	9:35 AM	10:00 AM	Routine Inspection (001)	ZYW1	Zenobia Walker	2	
